OrderID,OrderDate,CoffeeName,Quantity,UnitPrice,TotalAmount,PaymentMethod
COF-00001,2024-11-24,"Latte",8,5.5,44,Card
COF-00002,2025-01-03,"Latte",10,5.5,55,Card
COF-00003,2024-05-13,"Latte",10,5.5,55,Card
COF-00004,2024-03-15,"Latte",7,5.5,38.5,Card
COF-00005,2024-07-05,"Latte",8,5.5,44,Card
COF-00006,2024-12-18,"Latte",6,5.5,33,Card
COF-00007,2024-06-11,"Latte",7,5.5,38.5,Card
COF-00008,2025-02-07,"Latte",10,5.5,55,Card
COF-00009,2024-08-16,"Latte",7,5.5,38.5,Card
COF-00010,2024-12-21,"Latte",4,5.5,22,Card
COF-00011,2025-02-17,"Latte",10,5.5,55,Card
COF-00012,2024-12-20,"Latte",10,5.5,55,Card
COF-00013,2024-12-15,"Latte",9,5.5,49.5,Card
COF-00014,2024-12-25,"Latte",10,5.5,55,Card
COF-00015,2024-03-13,"Latte",8,5.5,44,Card
COF-00016,2024-05-13,"Latte",3,5.5,16.5,Card
COF-00017,2024-10-11,"Latte",6,5.5,33,Card
COF-00018,2024-07-14,"Latte",9,5.5,49.5,Card
COF-00019,2024-08-22,"Latte",9,5.5,49.5,Card
COF-00020,2024-08-04,"Latte",5,5.5,27.5,Card
COF-00021,2024-09-10,"Latte",6,5.5,33,Card
COF-00022,2024-09-30,"Latte",4,5.5,22,Card
COF-00023,2025-02-21,"Latte",7,5.5,38.5,Card
COF-00024,2024-09-14,"Latte",3,5.5,16.5,Card
COF-00025,2024-04-28,"Latte",7,5.5,38.5,Card
COF-00026,2024-08-26,"Latte",9,5.5,49.5,Card
COF-00027,2024-09-23,"Latte",4,5.5,22,Card
COF-00028,2024-07-17,"Latte",4,5.5,22,Card
COF-00029,2025-01-08,"Latte",7,5.5,38.5,Card
COF-00030,2025-01-21,"Latte",5,5.5,27.5,Card
COF-00031,2025-02-01,"Latte",5,5.5,27.5,Card
COF-00032,2024-12-17,"Latte",5,5.5,27.5,Card
COF-00033,2024-10-29,"Latte",6,5.5,33,Card
COF-00034,2024-12-15,"Latte",5,5.5,27.5,Card
COF-00035,2024-12-06,"Latte",3,5.5,16.5,Card
COF-00036,2024-08-14,"Latte",4,5.5,22,Card
COF-00037,2024-09-02,"Latte",10,5.5,55,Card
COF-00038,2024-10-25,"Latte",9,5.5,49.5,Card
COF-00039,2025-02-27,"Latte",4,5.5,22,Card
COF-00040,2024-05-04,"Latte",8,5.5,44,Card
COF-00041,2024-10-19,"Latte",3,5.5,16.5,Card
COF-00042,2024-11-10,"Latte",8,5.5,44,Card
COF-00043,2024-06-03,"Latte",6,5.5,33,Card
COF-00044,2024-04-16,"Latte",9,5.5,49.5,Card
COF-00045,2024-11-23,"Latte",9,5.5,49.5,Card
COF-00046,2025-03-22,"Latte",8,5.5,44,Card
COF-00047,2024-06-06,"Latte",5,5.5,27.5,Card
COF-00048,2025-01-11,"Latte",5,5.5,27.5,Card
COF-00049,2024-04-13,"Latte",4,5.5,22,Card
COF-00050,2024-07-03,"Latte",9,5.5,49.5,Card
COF-00051,2024-06-11,"Latte",6,5.5,33,Card
COF-00052,2025-03-12,"Latte",4,5.5,22,Card
COF-00053,2024-05-31,"Latte",3,5.5,16.5,Card
COF-00054,2024-12-30,"Latte",4,5.5,22,Card
COF-00055,2024-03-27,"Latte",5,5.5,27.5,Card
COF-00056,2024-11-06,"Latte",10,5.5,55,Card
COF-00057,2024-05-02,"Latte",10,5.5,55,Card
COF-00058,2024-04-28,"Latte",10,5.5,55,Card
COF-00059,2024-06-02,"Latte",9,5.5,49.5,Card
COF-00060,2025-03-16,"Latte",7,5.5,38.5,Card
COF-00061,2024-05-20,"Latte",10,5.5,55,Card
COF-00062,2024-04-12,"Latte",9,5.5,49.5,Card
COF-00063,2024-10-24,"Latte",8,5.5,44,Card
COF-00064,2024-12-24,"Latte",8,5.5,44,Card
COF-00065,2024-11-28,"Latte",6,5.5,33,Card
COF-00066,2024-10-14,"Latte",8,5.5,44,Cash
COF-00067,2024-05-03,"Latte",6,5.5,33,Card
COF-00068,2024-07-30,"Latte",4,5.5,22,Card
COF-00069,2024-11-05,"Latte",3,5.5,16.5,Card
COF-00070,2024-07-23,"Latte",8,5.5,44,Card
COF-00071,2024-09-07,"Latte",5,5.5,27.5,Card
COF-00072,2024-03-10,"Latte",7,5.5,38.5,Card
COF-00073,2024-05-14,"Latte",10,5.5,55,Card
COF-00074,2024-12-28,"Latte",3,5.5,16.5,Card
COF-00075,2024-08-20,"Latte",6,5.5,33,Card
COF-00076,2025-03-01,"Latte",6,5.5,33,Card
COF-00077,2024-05-14,"Latte",8,5.5,44,Card
COF-00078,2024-12-09,"Latte",9,5.5,49.5,Card
COF-00079,2024-03-31,"Latte",9,5.5,49.5,Card
COF-00080,2024-12-09,"Latte",6,5.5,33,Card
COF-00081,2025-02-02,"Latte",4,5.5,22,Cash
COF-00082,2024-06-24,"Latte",5,5.5,27.5,Card
COF-00083,2024-03-18,"Latte",8,5.5,44,Card
COF-00084,2025-03-05,"Latte",6,5.5,33,Card
COF-00085,2024-09-20,"Latte",6,5.5,33,Card
COF-00086,2024-04-16,"Latte",10,5.5,55,Card
COF-00087,2024-11-25,"Latte",8,5.5,44,Card
COF-00088,2024-04-07,"Latte",4,5.5,22,Card
COF-00089,2024-06-28,"Latte",9,5.5,49.5,Card
COF-00090,2024-09-04,"Latte",10,5.5,55,Card
COF-00091,2024-09-11,"Latte",6,5.5,33,Card
COF-00092,2024-12-20,"Latte",10,5.5,55,Card
COF-00093,2024-05-16,"Latte",4,5.5,22,Card
COF-00094,2024-12-12,"Latte",10,5.5,55,Card
COF-00095,2024-09-26,"Latte",5,5.5,27.5,Card
COF-00096,2024-06-19,"Latte",4,5.5,22,Card
COF-00097,2024-10-29,"Latte",10,5.5,55,Card
COF-00098,2024-03-05,"Latte",3,5.5,16.5,Card
COF-00099,2024-04-07,"Latte",9,5.5,49.5,Card
COF-00100,2025-03-14,"Latte",10,5.5,55,Card
COF-00101,2024-03-02,"Latte",7,5.5,38.5,Card
COF-00102,2024-05-05,"Latte",6,5.5,33,Card
COF-00103,2024-06-25,"Latte",9,5.5,49.5,Card
COF-00104,2024-11-12,"Latte",10,5.5,55,Card
COF-00105,2024-11-03,"Latte",10,5.5,55,Card
COF-00106,2025-02-03,"Latte",7,5.5,38.5,Card
COF-00107,2025-01-04,"Latte",3,5.5,16.5,Card
COF-00108,2024-03-27,"Latte",9,5.5,49.5,Card
COF-00109,2025-02-07,"Latte",6,5.5,33,Card
COF-00110,2024-12-07,"Latte",8,5.5,44,Card
COF-00111,2024-12-19,"Latte",4,5.5,22,Card
COF-00112,2024-11-01,"Latte",8,5.5,44,Card
COF-00113,2024-04-01,"Latte",5,5.5,27.5,Card
COF-00114,2024-07-21,"Latte",10,5.5,55,Card
COF-00115,2025-02-25,"Latte",10,5.5,55,Card
COF-00116,2024-03-29,"Latte",6,5.5,33,Card
COF-00117,2025-03-09,"Latte",4,5.5,22,Card
COF-00118,2024-04-23,"Latte",4,5.5,22,Card
COF-00119,2025-03-10,"Latte",10,5.5,55,Card
COF-00120,2024-12-14,"Latte",5,5.5,27.5,Card
COF-00121,2024-09-07,"Latte",7,5.5,38.5,Card
COF-00122,2024-07-14,"Latte",10,5.5,55,Card
COF-00123,2024-11-12,"Latte",3,5.5,16.5,Card
COF-00124,2024-09-21,"Latte",9,5.5,49.5,Card
COF-00125,2024-04-12,"Latte",6,5.5,33,Card
COF-00126,2024-04-21,"Latte",4,5.5,22,Card
COF-00127,2025-03-12,"Latte",9,5.5,49.5,Card
COF-00128,2024-07-20,"Latte",9,5.5,49.5,Card
COF-00129,2025-03-12,"Latte",7,5.5,38.5,Card
COF-00130,2024-05-14,"Latte",8,5.5,44,Card
COF-00131,2024-10-25,"Latte",5,5.5,27.5,Card
COF-00132,2025-02-01,"Latte",10,5.5,55,Card
COF-00133,2024-07-03,"Latte",7,5.5,38.5,Card
COF-00134,2024-07-17,"Latte",6,5.5,33,Card
COF-00135,2025-01-27,"Latte",6,5.5,33,Card
COF-00136,2025-03-30,"Latte",3,5.5,16.5,Card
COF-00137,2025-03-03,"Latte",9,5.5,49.5,Card
COF-00138,2025-01-16,"Latte",9,5.5,49.5,Card
COF-00139,2025-02-08,"Latte",3,5.5,16.5,Card
