OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerState,Region,ProductID,Quantity,UnitPrice,Discount,SalesAmount,Profit
ORD-2025-00001,2025-05-31,2025-06-07,Standard Class,C-027,OH,North,P-018,4,8.99,0,35.96,21.56
ORD-2024-00002,2024-01-31,2024-02-06,First Class,C-029,TX,South,P-001,6,1299,0,7794,3234
ORD-2024-00003,2024-10-07,2024-10-10,Standard Class,C-026,IN,North,P-003,10,849,0.05,8065.5,2665.5
ORD-2024-00004,2024-08-29,2024-09-04,Same Day,C-029,TX,South,P-008,10,89.99,0.2,719.92,339.92
ORD-2025-00005,2025-09-26,2025-09-29,First Class,C-028,WI,North,P-008,4,89.99,0,359.96,207.96
ORD-2025-00006,2025-10-17,2025-10-20,Second Class,C-009,MA,East,P-016,9,6.99,0.15,53.47,24.67
ORD-2025-00007,2025-04-06,2025-04-09,Same Day,C-014,CA,West,P-007,7,119,0.1,749.7,301.7
ORD-2024-00008,2024-06-07,2024-06-09,Second Class,C-034,CA,West,P-017,4,12.49,0.15,42.47,22.07
ORD-2024-00009,2024-09-05,2024-09-09,Same Day,C-037,OH,North,P-012,5,249,0,1245,545
ORD-2025-00010,2025-01-08,2025-01-13,Standard Class,C-005,AZ,West,P-019,5,68,0.05,323,153
ORD-2025-00011,2025-06-26,2025-06-30,Standard Class,C-005,AZ,West,P-020,12,34.99,0.15,356.9,188.9
ORD-2025-00012,2025-07-13,2025-07-18,First Class,C-004,TX,South,P-009,4,199,0.2,636.8,252.8
ORD-2025-00013,2025-06-11,2025-06-14,First Class,C-022,UT,West,P-007,6,119,0.05,678.3,294.3
ORD-2024-00014,2024-09-10,2024-09-11,Second Class,C-001,NY,East,P-007,1,119,0.15,101.15,37.15
ORD-2025-00015,2025-12-21,2025-12-22,First Class,C-040,KY,South,P-001,10,1299,0.15,11041.5,3441.5
ORD-2025-00016,2025-02-16,2025-02-18,Second Class,C-032,AB,North,P-003,4,849,0.2,2716.8,556.8
ORD-2024-00017,2024-06-21,2024-06-24,Standard Class,C-024,NC,South,P-013,7,179,0,1253,588
ORD-2025-00018,2025-09-06,2025-09-09,Second Class,C-017,TN,South,P-005,6,329,0.05,1875.3,705.3
ORD-2024-00019,2024-08-28,2024-08-31,Second Class,C-040,KY,South,P-015,9,289,0.05,2470.95,985.95
ORD-2025-00020,2025-04-14,2025-04-18,Same Day,C-002,CA,West,P-002,2,999,0.1,1798.2,578.2
ORD-2024-00021,2024-08-22,2024-08-23,Second Class,C-003,IL,North,P-015,6,289,0,1734,744
ORD-2025-00022,2025-03-25,2025-03-26,Same Day,C-032,AB,North,P-009,10,199,0.1,1791,831
ORD-2024-00023,2024-10-05,2024-10-10,First Class,C-023,FL,South,P-005,9,329,0,2961,1206
